Conjunto de Dados Balanceados,Handshake,,SCARGC,
,Acurácia,Macro-F1,Acurácia,Macro-F1
1CDT,"0,9992","0,9992","0,9992","0,9992"
1CHT,"0,9941","0,9942","0,9953","0,9953"
2CDT,"0,9287","0,9287","0,9505","0,9504"
2CHT,"0,7547","0,7544","0,882","0,8823"
Keystroke,"0,805","0,8051","0,5477","0,5078"
